question_id,lane,answer_type,question,answer_space,gold_label,schema_noncommit_set,schema_gold_commitment,gold_label_evidence,canonical_claim,ambiguity_notes,schema_confidence,manual_gold_label,manual_gold_commitment,manual_confidence,manual_notes,needs_schema_revision
FT27,FT,category_choice,"As of Q3 2025, how do NVIDIA's momentum indicators compare with its fundamental growth trajectory?",aligned|diverged|mixed|insufficient_data,aligned,insufficient_data|mixed,committed,Momentum reflects sustained upward price trends driven by fundamentals ... indicating no major disconnect.,Momentum and fundamentals are aligned: high returns on capital support the rally; no divergence signals.,,medium,,,,,
FT34,FT,open_summary_with_canonical_claim,"As of September 2025, how does Microsoft balance enterprise stability with AI growth exposure?",claim_true|claim_false|mixed,claim_true,mixed,committed,demonstrates a disciplined and effective balance ... financially sound core ... robust growth momentum consistent with significant AI exposure.,MSFT pairs a stable low-leverage cash-generative core with strong multi-horizon growth momentum — effective balance.,,medium,,,,,
FT36,FT,yes_no_mixed,"As of Q3 2025, does Amazon's diversified business model create a more attractive risk profile?",yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,"creates a risk profile that is fundamentally attractive due to its stability, despite short-term technical headwinds.",Robust structure + liquidity generation = attractive risk profile; short-term price action disconnects from health.,,medium,,,,,
FT39,FT,yes_no_mixed,Should I be concerned about Alphabet's multiple compression in 2025 despite strong earnings?,yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,there is valid reason for short-term concern regarding multiple compression ... price correcting downwards while fundamentals stay static.,Technical deterioration against a static premium = the definition of multiple compression — short-term concern valid.,,medium,,,,,
FT46,FT,category_choice,"In 2025, does Qualcomm's smartphone exposure limit its appeal, or do diversification efforts offset this?",exposure_limits|diversification_offsets|mixed|insufficient_data,diversification_offsets,insufficient_data|mixed,committed,"smartphone exposure does not materially limit its attractiveness in 2025, as offsetting factors are substantiated.",Diversification (auto/IoT/edge) + healthy cash flow and returns offset the smartphone-exposure drag.,,medium,,,,,
F17,F,open_summary_with_canonical_claim,"Why do dividend investors like Cisco as of July 2025, despite its slow growth?",claim_true|claim_false|mixed,claim_true,mixed,committed,"yield significantly superior to its high-growth peers, backed by steady fundamentals ... reliable yield compensating for lack of aggressive capital appreciation.","CSCO offers a tech-sector yield far above peers, backed by steady cash flow and low volatility.",,medium,,,,,
F22,F,open_summary_with_canonical_claim,"As of Q3 2025, why is Tesla's stock price so high compared to its earnings?",claim_true|claim_false|mixed,claim_true,mixed,committed,the market is driving the valuation based on technical momentum and speculative accumulation rather than current profitability.,"TSLA's price is driven by momentum/speculation, not current profitability (ROE 1.6%, E/P NA).",,medium,,,,,
F27,F,open_summary_with_canonical_claim,What makes Nvidia so valuable to investors in July 2025?,claim_true|claim_false|mixed,claim_true,mixed,committed,aggressive short-term price momentum backed by superior operational efficiency ... ROE of 28.24% and strong liquidity generation.,NVDA combines strong momentum with superior profitability/efficiency and low leverage.,,medium,,,,,
F32,F,open_summary_with_canonical_claim,"Why do software companies (like Adobe, Nvidia) have such high profit margins in 2025?",claim_true|claim_false|mixed,claim_true,mixed,committed,"high margins are a result of high ROA relative to Sales/Assets ratios; Nvidia through pricing power and low debt costs, Adobe through asset turnover and moderate financial leverage.","High ROA relative to asset turnover (pricing power; NVDA low-debt, ADBE moderate leverage) produces the high margins.",,medium,,,,,
F35,F,open_summary_with_canonical_claim,Why is Apple's return on equity so extraordinarily high in 2025?,claim_true|claim_false|mixed,claim_true,mixed,committed,primarily due to the company's aggressive use of financial leverage and a highly efficient capital structure ... lean equity base mathematically inflates the ROE metric.,Leverage (D/E 1.54) plus a lean equity base (buyback-shrunk book value) magnify solid ROA into extraordinary ROE.,,medium,,,,,
T22,T,screening_top1,What NASDAQ names are showing signs of exhaustion after their big moves in Q3 2025?,APP|KLAC|ASML|LRCX|AAPL|none_clear,APP,none_clear,committed,"clearest signs of exhaustion ... are APP, KLAC, ASML, LRCX, AAPL, and EA — led by APP's extraordinary 113.41% gain ... severely overbought RSI levels (82-91).","APP (led the surge, RSI ~91) heads the exhaustion set; KLAC/ASML/LRCX/AAPL/EA follow.",,medium,,,,,
T24,T,screening_top1,What companies are breaking above key moving average resistance during September 2025?,APP|LRCX|MNST|INTC|none_clear,APP,none_clear,committed,"the most credible breakouts ... APP (AppLovin): Closed at $718.54 vs. MA_20 of $602.76, with strong RSI (90.67), bullish MACD, and robust fundamentals.",APP is the most credible MA-resistance breakout; LRCX and MNST follow.,,medium,,,,,
T47,T,screening_top1,Which companies are showing decreasing momentum quality in Q3 2025?,CMCSA|TEAM|KDP|TRI|none_clear,CMCSA,none_clear,committed,CMCSA (Comcast): Critical momentum failure (RSI ~13) and -12.7% return (listed first of six).,CMCSA leads the deteriorating-momentum set (RSI ~13); TEAM/KDP/TRI/DXCM/VRSK follow.,,medium,,,,,
T49,T,screening_top1,"Which NASDAQ 100 stocks are setting up for potential breakouts as of September 15, 2025?",NVDA|LRCX|KLAC|APP|none_clear,NVDA,none_clear,committed,"NVIDIA (NVDA), Lam Research (LRCX), and KLA Corp (KLAC) are the strongest candidates setting up for potential breakouts ... NVDA exhibits a classic high-quality breakout setup.",NVDA is the classic high-quality breakout setup; LRCX/KLAC the semiconductor-equipment analogues.,,medium,,,,,
T8,T,screening_top1,What NASDAQ 100 names are experiencing momentum divergence in Q2 2025?,APP|TSLA|COST|TTD|none_clear,APP,none_clear,committed,"Bearish Divergence (Price Up, Momentum Down): AppLovin (APP): Despite a +23.83% price increase, the stock is showing severe exhaustion with -10.92% momentum.","APP heads the bearish price-up/momentum-down divergence set; TSLA, COST, TTD follow.",,medium,,,,,
FT11,FT,supportive_judgment,"As of August 2025, is Costco worth buying for dividend income?",supportive|unsupportive|conditional|insufficient_data,unsupportive,conditional|insufficient_data,committed,Costco (COST) is not suitable for an investment strategy primarily focused on dividend income ... yield is extremely low at 0.11%.,Yield 0.11% fails the income requirement despite financial health; oversold RSI may suit value/growth entries instead.,,high,,,,,
FT14,FT,category_choice,Is Broadcom's Q3 2025 rally sustainable or should I take profits?,sustainable|take_profits|mixed|insufficient_data,take_profits,insufficient_data|mixed,committed,"appears unsustainable in the near term, warranting profit-taking.",Exhaustion technicals + weak profitability/valuation argue for realizing gains near-term.,,high,,,,,
FT16,FT,supportive_judgment,Should I buy Starbucks during this August 2025 dip?,supportive|unsupportive|conditional|insufficient_data,unsupportive,conditional|insufficient_data,committed,"the setup for Starbucks (SBUX) presents high risk ... negative shareholder equity, negative ROE, and a high debt load ... extreme caution.","Not a value dip: repricing on financial weakness (negative equity/ROE, high debt).",,high,,,,,
FT18,FT,supportive_judgment,Should I invest in Cisco for stability in the volatile 2025 market?,supportive|unsupportive|conditional|insufficient_data,supportive,conditional|insufficient_data,committed,"yes, Cisco (CSCO) is a suitable investment for stability in the volatile 2025 market.",Low technical volatility + defensive fundamentals make CSCO suitable for stability-focused portfolios.,,high,,,,,
FT20,FT,yes_no_mixed,Is Apple a good defensive stock for September 2025?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,Apple (AAPL) does not align with the traditional profile of a defensive stock ... high-momentum growth ... negligible yield ... leverage.,"Momentum profile, leverage, and negligible yield contradict the defensive label.",,high,,,,,
FT21,FT,category_choice,Should I buy Texas Instruments in August 2025 or wait?,buy_now|wait|insufficient_data,wait,insufficient_data,committed,I recommend waiting to buy Texas Instruments (TXN) rather than entering immediately ... severely overbought RSI (85.35).,Bullish trend but RSI 85 + stretched valuation → wait for consolidation entry.,,high,,,,,
FT26,FT,yes_no_mixed,Is NVIDIA's August 2025 pullback a buying opportunity given its AI dominance?,yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,"high ROE/ROA and medium/long-term momentum outweigh this, positioning the pullback as an entry for AI exposure.",Strong fundamentals + intact medium/long-term momentum make the pullback an entry point.,,high,,,,,
FT29,FT,yes_no_mixed,"As of mid-2025, is Tesla showing signs of fundamental deterioration beneath its technical strength?",yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,"a classic case of price-value divergence, confirming the premise that fundamental deterioration exists beneath technical strength.","Bullish technicals over minimal returns on capital (ROA 0.6%, ROE 1.6%) — divergence confirmed.",,high,,,,,
FT32,FT,category_choice,"Is Apple's stability attractive in the volatile 2025 market, or does it signal underperformance ahead?",attractive_stability|underperformance_ahead|mixed|insufficient_data,underperformance_ahead,insufficient_data|mixed,committed,Apple signals a risk of underperformance ahead rather than attractive stability ... technically and fundamentally overextended.,"Overbought RSI, negative medium-term momentum divergence, steep valuation + leverage → underperformance risk.",,high,,,,,
FT38,FT,yes_no_mixed,"Is Alphabet's search dominance under threat in 2025, and how do fundamentals reflect this risk?",yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,"does not appear to be under immediate existential threat in the eyes of the market, though there is evidence of short-term caution.",+42% price and strong fundamentals say no immediate threat; end-period technicals show short-term caution only.,,high,,,,,
FT4,FT,yes_no_mixed,Is NVIDIA's pullback in July 2025 a buying opportunity?,yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,classic setup for dip-buying in a strong stock like NVDA.,Overbought-RSI pullback within robust uptrend + elite fundamentals = dip-buying setup.,,high,,,,,
FT40,FT,yes_no_mixed,"As of September 2025, is Netflix's streaming dominance translating into sustainable financial metrics?",yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,streaming dominance is indeed translating into sustainable financial metrics ... solid fundamentals and resilient market pricing trends.,"Sound profitability, conservative leverage, positive cash flow = sustainable metrics; near-term technical caution only.",,high,,,,,
FT41,FT,category_choice,Does Netflix's lack of a dividend in 2025 signal reinvestment opportunity or cash flow weakness?,reinvestment_opportunity|cash_flow_weakness|mixed|insufficient_data,reinvestment_opportunity,insufficient_data|mixed,committed,"signals a reinvestment opportunity. The fundamental data confirms the company is solvent and cash-flow positive, ruling out financial weakness.",Positive cash flow rules out weakness; premium valuation + momentum indicate preferred retention for growth.,,high,,,,,
FT43,FT,category_choice,"In Q3 2025, should I wait for technical confirmation before buying Adobe, or are fundamentals sufficient?",wait_for_confirmation|buy_on_fundamentals|insufficient_data,wait_for_confirmation,insufficient_data,committed,you should wait for technical confirmation before buying Adobe; the fundamentals alone are not sufficient.,Downtrend + no bottoming signals = wait for price above MA_20 or MACD crossover; avoid catching the knife.,,high,,,,,
FT45,FT,category_choice,"As of September 2025, should I view Intel as a contrarian value play or a value trap?",contrarian_value_play|value_trap|mixed|insufficient_data,contrarian_value_play,insufficient_data|mixed,committed,Intel (INTC) is best characterized as a Contrarian Value Play ... trading near book value while price action indicates a massive breakout.,Near-book valuation floor + decisive sentiment shift/breakout = contrarian play despite value-trap risk factors.,,high,,,,,
FT48,FT,yes_no_mixed,Does Costco's defensive retail model justify its premium Q3 2025 valuation metrics?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,these attributes did not fully justify the stock's premium valuation in Q3 2025 ... investors viewed the valuation as stretched.,"Genuine defensive model, but P/B ~16.6x vs ROE 7.8% is stretched — market marked it down.",,high,,,,,
FT6,FT,yes_no_mixed,"As of 2025, is Google a safe investment for my retirement portfolio?",yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,"No, Google (GOOGL) is not a safe investment for a retirement portfolio as of 2025, due to its volatility-driven price behavior and lack of meaningful income generation.",Volatility profile + negligible income contradict retirement-safety criteria despite solid balance sheet.,,high,,,,,
FT7,FT,yes_no_mixed,Has Meta bottomed out after its decline in August 2025?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,META has not clearly bottomed out after its -1.51% decline ... short-term indicators lack oversold or reversal conviction.,Below key MAs with bearish short-term momentum and no reversal confirmation — no bottom yet.,,high,,,,,
F13,F,yes_no_mixed,Should I worry about Netflix's debt levels in mid-2025?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,there is no significant cause for worry regarding Netflix's debt levels.,"NFLX leverage (D/E 0.58, D/A 0.27) and positive cash flow give no significant cause for debt worry.",,high,,,,,
F14,F,yes_no_mixed,Is PayPal overleveraged after its 2024-2025 acquisition spree?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,PayPal is not overleveraged ... Debt-to-Assets ratio of 4.05% and a Debt-to-Equity ratio of 15.99%.,PYPL's very low leverage contradicts the overleverage concern.,,high,,,,,
F18,F,yes_no_mixed,"As of September 2025, is Meta's debt from acquisitions manageable?",yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,"Meta's debt from acquisitions is manageable ... Debt/Assets ratio of 16.81% and Debt/Equity of 25.41%, well within safe thresholds.","META's low leverage, strong cash flow, and solid profitability make acquisition debt manageable.",,high,,,,,
F19,F,company_choice,"Based on data for the first half of 2025, which is more financially stable: AMD or Intel?",AMD|INTC|insufficient_data,AMD,insufficient_data,committed,AMD is clearly more financially stable than Intel ... minimal leverage ... positive profitability vs. Intel's negative.,"AMD: lower leverage, better cash flow, positive profitability vs Intel's losses.",,high,,,,,
F20,F,yes_no_mixed,"As of August 2025, should I be concerned about Meta's acquisition debt?",yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,no strong evidence to suggest significant concern about Meta's acquisition debt.,META's conservative capital structure and cash flow make debt concern unwarranted.,,high,,,,,
F23,F,valuation_judgment,Are semiconductor stocks expensive or cheap in mid-2025?,expensive|fair|cheap|insufficient_data,expensive,insufficient_data,committed,"Semiconductor stocks in mid-2025 were broadly expensive, driven by strong price momentum and speculative enthusiasm.",The sector is broadly expensive; overbought technicals and price-fundamental divergence in several names.,,high,,,,,
F24,F,category_choice,Is Amazon a value or growth stock at its August 2025 prices?,growth|value|mixed|insufficient_data,growth,insufficient_data|mixed,committed,"Amazon is classified as a Growth stock ... high valuation relative to book value, zero dividend yield, strong momentum.","AMZN is a growth stock: premium to book, no dividend, momentum-driven.",,high,,,,,
F29,F,company_choice,"As of Q3 2025, which is a better value: Qualcomm or Intel?",QCOM|INTC|insufficient_data,QCOM,insufficient_data,committed,Qualcomm (QCOM) represents a better value than Intel (INTC) when evaluated holistically.,QCOM's positive profitability and cash flow beat INTC's cheap-but-loss-making profile.,,high,,,,,
F33,F,yes_no_mixed,Is Tesla's manufacturing as efficient as its September 2025 valuation suggests?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,"No, Tesla's manufacturing efficiency is not as strong as its September 2025 valuation suggests.","Low Sales/Assets, ROA and cash flow contradict the valuation-implied efficiency.",,high,,,,,
F36,F,yes_no_mixed,"Does AMD use its assets more efficiently after its recent investments, as of August 2025?",yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,AMD does not appear to be using its assets efficiently in the current window.,"Low Sales/Assets (0.10), ROA (1.9%), cash flow — investments not yet producing operational leverage.",,high,,,,,
F37,F,company_choice,"As of Q3 2025, which generates more cash per dollar of assets: Netflix or Apple?",NFLX|AAPL|insufficient_data,AAPL,insufficient_data,committed,Apple generates more cash per dollar of assets than Netflix ... 0.0841 vs 0.0456.,AAPL 8.4c vs NFLX 4.6c cash per asset dollar.,,high,,,,,
F38,F,category_choice,"In 2025, is Cisco's asset base productive or aging into obsolescence?",productive|aging|mixed|insufficient_data,aging,insufficient_data|mixed,committed,Cisco's asset base in 2025 shows signs of aging into obsolescence rather than robust productivity.,Low ROA (2.1%) and Sales/Assets (12%) indicate suboptimal utilization — aging asset base.,,high,,,,,
F43,F,yes_no_mixed,Is Apple's dividend safe given its high debt load as of Q3 2025?,yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,"Apple's dividend appears safe, and the 'high debt load' does not present an immediate threat to the payout.",Tiny payout burden (0.13% yield) vs strong cash flow makes the dividend safe despite D/E 1.54.,,high,,,,,
F45,F,category_choice,"As of 2025, which is more shareholder-friendly: companies with high dividends or high buybacks?",high_dividends|high_buybacks|similar|insufficient_data,high_buybacks,insufficient_data,committed,"companies prioritizing capital appreciation (zero or near-zero dividend yields, implying reinvestment or buybacks) were significantly more shareholder-friendly than high-dividend payers.","Capital-retention names (APP, MU) massively outperformed high-yielders (KHC, CMCSA) on total return.",,high,,,,,
F46,F,category_choice,Is PayPal's lack of dividend (as of August 2025) a red flag or smart capital allocation?,red_flag|smart_allocation|mixed|insufficient_data,smart_allocation,insufficient_data|mixed,committed,"aligning with its profile as a fintech growth stock ... Red flags would require high debt, negative returns, or stagnation—none apply here.","Growth-profile capital retention with low leverage and positive returns — smart allocation, not a red flag.",,high,,,,,
F49,F,yes_no_mixed,Should dividend investors avoid high P/E tech stocks entirely in 2025?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,"No, dividend investors should not avoid high P/E tech stocks entirely in 2025 ... a Total Return approach is superior.",Total-return evidence favors including quality tech; mature tech offers yield-plus-momentum compromise.,,high,,,,,
F5,F,yes_no_mixed,"Does Amazon actually make money despite its low profit margins, based on 2025 data?",yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,"Yes, based on the 2025 data, Amazon is actually making money ... positive Return on Assets of 2.70% and Return on Equity of 6.38%.",Positive ROA/ROE and cash generation exceeding accounting profits confirm profitability.,,high,,,,,
F50,F,screening_top1,"As of September 2025, which tech company has the best overall fundamental profile?",APP|LRCX|KLAC|NVDA|AAPL|none_clear,APP,none_clear,committed,AppLovin Corporation (APP) exhibits the best overall fundamental profile ... ROA at 14.89% (highest) and ROE at 82.70% (highest).,APP leads decisively on profitability metrics (leverage caveat); LRCX and KLAC commendable but inferior.,,high,,,,,
F9,F,yes_no_mixed,Does Meta's profitability justify its stock price as of September 2025?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,Meta's profitability does not fully justify its September 2025 stock price ... metrics fall short of supporting the implied premium valuation.,Moderate profitability (ROE 10.4%) undershoots the premium (P/B ~9.5x) — not justified.,,high,,,,,
T13,T,screening_top1,"Which NASDAQ 100 stocks are the most volatile, based on data from September 2025?",WBD|APP|MU|INTC|LRCX|none_clear,WBD,none_clear,committed,"WBD led the group with an extraordinary 68.07% price increase, followed by APP (49.16%), MU (41.22%), and INTC (38.58%).",WBD is the most volatile (68% monthly move); APP/MU/INTC/LRCX complete the high-vol set.,,high,,,,,
T14,T,screening_top1,What companies had the biggest single-day moves during August 2025?,IDXX|SHOP|MRVL|AXON|none_clear,IDXX,none_clear,committed,IDXX recorded the largest single-day gain of the group at 27.49% (Max_Return_20D=0.2749).,"IDXX had the largest single-day move (27.5%); SHOP, MRVL (downside), AXON complete the set.",,high,,,,,
T16,T,screening_top1,What NASDAQ names have the highest risk-adjusted momentum for the year-to-date 2025?,PLTR|APP|SHOP|DASH|AVGO|none_clear,PLTR,none_clear,committed,the NASDAQ names with the highest risk-adjusted momentum are PLTR (Palantir) and APP (AppLovin) ... PLTR holds the highest momentum score in the entire dataset (3.5107).,PLTR leads on momentum score (3.51) with APP second; SHOP/DASH/AVGO honorable mentions.,,high,,,,,
T19,T,screening_top1,"As of September 1, 2025, which NASDAQ stocks are prime candidates for mean reversion trades?",INTC|MRVL|TRI|COST|none_clear,INTC,none_clear,committed,Intel (INTC) represents the strongest statistical anomaly for a downward reversion ... rallied 79.22% with an RSI of 78.36 unsupported by fundamentals.,"INTC is the strongest reversion candidate (downward); MRVL down, TRI/COST up complete the set.",,high,,,,,
T21,T,screening_top1,"Which stocks are furthest from their moving averages as of September 15, 2025?",INTC|MU|LRCX|AMAT|MRVL|none_clear,INTC,none_clear,committed,"Intel (INTC) exhibits the largest divergence, trading approximately 23.93% above its 20-day moving average.","INTC is furthest from its MA_20 (+23.9%); MU, LRCX, AMAT, MRVL follow.",,high,,,,,
T27,T,screening_top1,Which NASDAQ 100 stock has the best risk-reward setup for September 2025?,MU|WBD|APP|LRCX|none_clear,MU,none_clear,committed,Micron Technology (MU) presents the best risk-reward setup for September 2025 ... top-tier performance backed by a conservative balance sheet.,MU balances top-tier momentum with conservative leverage and less-exhausted RSI vs APP/WBD.,,high,,,,,
T29,T,screening_top1,Which stocks are showing the strongest relative momentum vs the index for 2025?,INTC|MU|LRCX|APP|MRVL|none_clear,INTC,none_clear,committed,"the strongest relative momentum in 2025, based on Momentum_20D, are INTC (0.5039), MU (0.4306), LRCX (0.4192), APP (0.3927), and MRVL (0.3614).",INTC leads raw momentum (0.50); MU/LRCX most sustainable per fundamentals.,,high,,,,,
T3,T,screening_top1,"Which companies have the most consistent medium-term price momentum, based on data from Q3 2025?",PLTR|APP|DASH|WBD|CRWD|none_clear,PLTR,none_clear,committed,"the most consistent medium-term price momentum in Q3 2025 are PLTR, APP, DASH, WBD, and CRWD ... PLTR and APP lead with exceptional strength (3.2682, 2.0492).",PLTR leads medium-term momentum (3.27); APP second; DASH/WBD/CRWD confirm.,,high,,,,,
T33,T,screening_top1,Which NASDAQ stocks are showing the clearest trend following signals in August 2025?,APP|GOOGL|IDXX|INTC|none_clear,APP,none_clear,committed,APP (AppLovin) — Signal Strength: Very High. APP is the statistical leader in this dataset.,APP is the clearest trend-following signal (massive return + bullish MACD + ROE backing); GOOGL a textbook steady uptrend.,,high,,,,,
T34,T,screening_top1,What stocks have the best risk management characteristics for the period ending September 2025?,CPRT|TSLA|ASML|APP|none_clear,CPRT,none_clear,committed,"CPRT (Copart) demonstrates the best corporate risk management characteristics, followed by TSLA and ASML.",CPRT's near-zero leverage makes it the risk-management leader; TSLA and ASML follow on capital structure.,,high,,,,,
T35,T,screening_top1,"As of September 5, 2025, which stocks are approaching oversold conditions?",TRI|TEAM|WBD|AVGO|none_clear,TRI,none_clear,committed,Thomson Reuters (TRI): The most oversold asset with an RSI of 15.71.,"TRI is deepest oversold (RSI 15.7); TEAM, WBD, AVGO follow.",,high,,,,,
T44,T,screening_top1,"What stocks have the highest probability reversal setups for the week of September 8, 2025?",INTC|ASML|TRI|MRVL|none_clear,INTC,none_clear,committed,INTC exhibits the strongest signal for a downward correction ... Short_Term_Reversal_1month indicator at a dataset-high of 0.5542.,"INTC has the strongest reversal setup (dataset-high reversal indicator, unsupported rally); ASML down, TRI up.",,high,,,,,
T45,T,screening_top1,Which companies are showing the most volatile intraday action during August 2025?,IDXX|SHOP|MRVL|AXON|none_clear,IDXX,none_clear,committed,"the companies exhibiting the most volatile intraday and single-day action were IDXX, SHOP, and MRVL ... IDXX recorded the highest single-day return at 27.49%.","IDXX leads single-day volatility (27.5%); SHOP upside, MRVL downside outliers.",,high,,,,,
T46,T,screening_top1,"As of September 2025, what NASDAQ stocks pose the highest volatility risk?",WBD|APP|INTC|LRCX|MU|none_clear,WBD,none_clear,committed,"the NASDAQ stocks posing the highest volatility risk ... are WBD, APP, INTC, LRCX, and MU. These exhibited the largest absolute price movements (e.g., WBD +68.07%).","WBD tops the volatility-risk set (largest swings, reversal signals); APP/INTC/LRCX/MU follow.",,high,,,,,
T50,T,screening_top1,What companies offer the best combination of momentum and stability as of Q3 2025?,LRCX|AMAT|MU|WBD|APP|none_clear,LRCX,none_clear,committed,Lam Research (LRCX) offers the best combination of momentum and stability.,LRCX balances top-5 momentum with superior financial health; WBD/APP fail stability criteria.,,high,,,,,
T9,T,screening_top1,"As of September 2025, which stocks have the strongest volume confirmation for their price moves?",TSLA|INTC|LRCX|NVDA|none_clear,TSLA,none_clear,committed,"Tesla (TSLA) demonstrates the highest level of confirmation ... 35.03% supported by an OBV of 22.96 Billion, the highest among all ranked tickers.",TSLA has the strongest OBV-confirmed move; INTC and LRCX follow.,,high,,,,,
